Lambda,Mean,Std
250,88.51553333333334,0.021168215166453973
251,88.61423333333333,0.01975002109703708
252,88.75783333333334,0.0168737468670461
253,88.87886666666667,0.010574655234721645
254,89.00549999999998,0.0167188516352037
255,89.12169999999999,0.019617339269124793
256,89.22656666666666,0.007335075550615204
257,89.31776666666667,0.003550117368948908
258,89.40500000000002,0.0067104396279224965
259,89.48366666666668,0.008159248331399038
260,89.56580000000001,0.008685044617042564
261,89.64683333333333,0.005081666393348875
262,89.72250000000001,0.005461684721767205
263,89.79633333333334,0.005299371031865176
264,89.86196666666666,0.004473626418611927
265,89.92746666666666,0.004259499188082784
266,89.985,0.007930321557169027
267,90.03983333333333,0.005991104516976054
268,90.10386666666666,0.003967786956649244
269,90.14593333333333,0.00983581889490687
270,90.18676666666666,0.008708807802069793
271,90.2257,0.007448489779815577
272,90.27126666666668,0.007600219295078289
273,90.31613333333333,0.01598572279671634
274,90.35716666666667,0.012358128229363403
275,90.40016666666666,0.008948929172438523
276,90.43526666666666,0.005200320502945497
277,90.4699,0.005802585630560264
278,90.50856666666668,0.00790527250215561
279,90.55536666666667,0.00860077515886573
280,90.6021,0.01361726844855694
281,90.64786666666667,0.011981791741360718
282,90.67450000000001,0.012990765951248604
283,90.69346666666667,0.012802083163821547
284,90.7133,0.013177253128025703
285,90.75110000000001,0.012682271089989058
286,90.7955,0.007104224095561649
287,90.83139999999999,0.010678483038331582
288,90.85866666666668,0.0026025628394602996
289,90.8806,0.0011135528725659614
290,90.89819999999999,0.005237365750069607
291,90.92556666666667,0.005441813423234027
292,90.94596666666666,0.007721614684334115
293,90.98083333333334,0.01186816469945322
294,91.00580000000001,0.009488413987595324
295,91.03133333333334,0.012794660344581493
296,91.06166666666668,0.002375570107013506
297,91.07809999999999,0.007903796556087958
298,91.09483333333333,0.008593214377250623
299,91.10430000000001,0.01696791089085421
300,91.13156666666667,0.014969747270189187
301,91.1561,0.010750348831553402
302,91.17583333333334,0.005345403009436785
303,91.1819,0.0018193405398690102
304,91.19496666666667,0.0031659648345042685
305,91.24653333333333,0.0065546421209157196
306,91.29853333333334,0.0039208842540107945
307,91.35773333333333,0.0041040630274559444
308,91.36473333333333,0.007446028023942344
309,91.38976666666667,0.013381454828726255
310,91.40423333333332,0.013439618050134026
311,91.41826666666667,0.02221988598830709
312,91.42286666666666,0.013850030084203135
313,91.4298,0.010095048291116952
314,91.44856666666665,0.0033080709383738775
315,91.45583333333333,0.00202072594216572
316,91.46203333333334,0.003214550253663458
317,91.47083333333335,0.008276674050208434
318,91.48783333333334,0.009988660237157785
319,91.5036,0.011532562594668564
320,91.5188,0.007006425622241292
321,91.52516666666668,0.01051205657011689
322,91.5272,0.016885792844872557
323,91.49796666666667,0.01298165372105256
324,91.48096666666667,0.013146228863568659
325,91.45866666666667,0.012763359014507744
326,91.48103333333334,0.014468701853772855
327,91.4893,0.01843990238585847
328,91.52093333333333,0.014665037788334409
329,91.5246,0.006894200461251667
330,91.54090000000001,0.002851315485878852
331,91.54593333333332,0.00484183160935697
332,91.55903333333333,0.00359212100761292
333,91.57350000000001,0.004327817001677804
334,91.58926666666666,0.004273562136362834
335,91.60613333333333,0.0034428670223150357
336,91.6125,0.0058617403558966896
337,91.61546666666668,0.00791854363714153
338,91.6213,0.0059304300012759876
339,91.62863333333333,0.0072920047540638725
340,91.63703333333335,0.005259594407682582
341,91.64526666666666,0.006653069467048898
342,91.65333333333335,0.0074096783555855535
343,91.6629,0.0059732738092294875
344,91.66843333333333,0.004833563212924884
345,91.675,0.005109794516413826
346,91.68103333333333,0.008958980596767627
347,91.68356666666666,0.008519585279421045
348,91.69343333333332,0.006852979887124509
349,91.70163333333333,0.002150193789714477
350,91.71446666666667,0.0036501141534634367
351,91.71503333333334,0.002542308662086681
352,91.72076666666668,0.0043189504897999265
353,91.73076666666668,0.004479211240083277
354,91.7408,0.007372923436466868
355,91.74566666666665,0.006343763341533013
356,91.74196666666666,0.0050023327891442005
357,91.7462,0.0038742741255645362
358,91.7441,0.0021166010488547966
359,91.75343333333332,0.004819059382633504
360,91.7598,0.001743559577412206
361,91.7627,0.0007999999999981355
362,91.76326666666667,0.0023028967265869642
363,91.7614,0.004326661530554586
364,91.76546666666667,0.0032145502536664048
365,91.76190000000001,0.0012489995996779065
366,91.76853333333334,0.003181718613159886
367,91.76756666666665,0.005862024678670383
368,91.76236666666667,0.008346456333880198
369,91.7497,0.00366606055596233
370,91.74206666666667,0.0035851545759328367
371,91.73046666666666,0.002396525262403973
372,91.77176666666668,0.002709858544897991
373,91.81923333333333,0.0055940444522105635
374,91.87193333333333,0.006011932578910029
375,91.88353333333333,0.0018770544300373475
376,91.88813333333333,0.0018036999011317822
377,91.89573333333333,0.0003511884584326643
378,91.89783333333332,0.002203028218909306
379,91.89933333333333,0.0023629078131295676
380,91.90133333333331,0.004900340124249093
381,91.89476666666667,0.004174126655160573
