Lambda,Mean,Std
250,100.3162,0.014481367338752828
251,100.29826666666668,0.01232247269558215
252,100.26626666666668,0.012383995047370634
253,100.24203333333332,0.004128357219683556
254,100.21713333333334,0.01430605932230537
255,100.19636666666668,0.023549168421267398
256,100.19279999999999,0.020636860226304052
257,100.17033333333335,0.013559621430308406
258,100.15943333333333,0.005564470624715814
259,100.1402,0.004613025037865577
260,100.13103333333333,0.005179124765182207
261,100.10983333333333,0.004086971168643877
262,100.09386666666667,0.005807179464536963
263,100.07756666666666,0.00443771713083751
264,100.0699,0.0028160255680646064
265,100.0511,0.00842852300228413
266,100.0326,0.007480641683706631
267,100.02246666666667,0.006087144924618471
268,100.02196666666667,0.003550117368948908
269,100.02023333333334,0.004990323970780962
270,99.99906666666668,0.008974593769820799
271,99.98403333333333,0.006950059951783139
272,99.96773333333334,0.006711433031278055
273,99.96786666666667,0.003189566323711591
274,99.9461,0.00998348636499875
275,99.94413333333334,0.008899625460284537
276,99.93536666666667,0.004579665198823921
277,99.93799999999999,0.005524490926771182
278,99.931,0.010753139076568963
279,99.9318,0.012778497564269983
280,99.9271,0.01454922678358041
281,99.92393333333332,0.013919889846305971
282,99.91706666666668,0.010309865825183423
283,99.91596666666668,0.008875434261677048
284,99.91550000000001,0.0021000000000027186
285,99.921,0.008314445261110307
286,99.92416666666666,0.008568741642348637
287,99.92146666666667,0.0037819747927911465
288,99.9083,0.0017349351572900043
289,99.911,0.008432674546073764
290,99.90166666666666,0.009400709193104593
291,99.90546666666667,0.0066259590500777
292,99.9088,0.00703135833249573
293,99.9259,0.007066116330774895
294,99.93316666666668,0.011000606043913879
295,99.9395,0.0074906608520219
296,99.94380000000001,0.012285357137664137
297,99.93509999999999,0.006921704992270255
298,99.92996666666666,0.005635896852620936
299,99.93753333333332,0.005877357682949222
300,99.9563,0.0036755951898984375
301,99.9559,0.004582575694956014
302,99.9415,0.0026000000000043254
303,99.93413333333332,0.006092892033619763
304,99.94996666666667,0.0029569128044843675
305,99.96113333333334,0.002437895267094543
306,99.95156666666666,0.0025006665777981083
307,99.94656666666667,0.0046500896048694805
308,99.94783333333334,0.006005275458574985
309,99.96236666666668,0.01585097263051074
310,99.9541,0.020447004670612844
311,99.968,0.016139082997495727
312,99.97793333333333,0.005934082349730362
313,99.99133333333333,0.004452340208626419
314,99.98516666666667,0.006867556576638705
315,99.98853333333334,0.009104577603231743
316,99.98633333333333,0.008247625921036852
317,100.00016666666669,0.011402777439436601
318,99.99183333333333,0.007184242015223664
319,99.99396666666667,0.002300724523570331
320,99.98806666666667,0.006516389593423474
321,99.99293333333334,0.002757414247683588
322,100.00546666666666,0.00515978035708297
323,100.00883333333333,0.01082881957248449
324,100.01383333333332,0.003685557397917529
325,100.00023333333333,0.0034078341117668616
326,100.00076666666666,0.0015011106998936308
327,100.01066666666667,0.004338586559391494
328,100.02866666666667,0.004310839052124735
329,100.02203333333334,0.0022278539748714905
330,100.0143,0.0020074859899850334
331,100.00753333333334,0.002050203241960013
332,100.01503333333334,0.004548992562459174
333,100.0185,0.006069596362197778
334,100.01793333333335,0.006906036007237214
335,100.01553333333334,0.0031214312956243068
336,100.01956666666668,0.006527122898591852
337,100.02886666666666,0.006847870715288176
338,100.0326,0.0028930952282944593
339,100.0274,0.007219418259109956
340,100.01506666666666,0.016621171238315725
341,100.01293333333332,0.011287751473756446
342,100.01466666666666,0.009717166939662339
343,100.02326666666666,0.00600694043031366
344,100.02256666666666,0.003827967258652957
345,100.02193333333332,0.0047920072342688795
346,100.02023333333334,0.005272886622457757
347,100.0252,0.006009991680527105
348,100.02713333333334,0.006211548384528755
349,100.02263333333333,0.004600362304569097
350,100.01933333333334,0.003394603560552941
351,100.02289999999999,0.0060605280298048105
352,100.02663333333334,0.006158192375472476
353,100.02389999999998,0.0037040518354871654
354,100.02576666666666,0.004548992562459174
355,100.0253,0.0032419130154885947
356,100.0228,0.0021377558326413706
357,100.01576666666666,0.003950105483820427
358,100.0157,0.0035028559776288703
359,100.02076666666666,0.00523195310886463
360,100.02056666666665,0.005139390365920488
361,100.01876666666665,0.004565449959573535
362,100.0156,0.005859180830121424
363,100.01536666666668,0.007975796720912713
364,100.01706666666666,0.003629508690347748
365,100.02123333333333,0.0034019602192451866
366,100.0267,0.001300000000000523
367,100.02486666666665,0.0034990474894401624
368,100.01816666666667,0.001680277754815551
369,100.0154,0.0035538711287821873
370,100.017,0.008101851640217662
371,100.0222,0.013252546925026327
372,100.0243,0.011751170154498877
373,100.02206666666666,0.0049217205663576935
374,100.02603333333333,0.0018502252115216403
375,100.02303333333333,0.0014224392195583881
376,100.0206,0.004853864439812065
377,100.01843333333333,0.003516153201065222
378,100.01679999999999,0.0018027756377327199
379,100.02666666666669,0.0024583192089998426
380,100.02456666666667,0.0018502252115145997
381,100.0251,0.0011532562594696288
382,100.01683333333334,0.002939954648177286
383,100.0106,0.004657252408876079
384,100.01006666666666,0.0026102362600612466
385,100.01726666666667,0.0009712534856249666
386,100.01973333333332,0.0006658328118454983
387,100.0193,0.002868797657556831
388,100.0138,0.0037322915213090276
389,100.01986666666669,0.006102731628814034
390,100.02086666666666,0.0045654499595713565
391,100.02043333333334,0.0023180451534339226
392,100.01766666666667,0.00040414518842974497
393,100.02120000000001,0.0024556058315625224
394,100.01923333333332,0.004350095784385309
395,100.01383333333332,0.005346338310785633
396,100.0049,0.005556977595775154
397,100.00323333333334,0.004278239513319061
398,100.00819999999999,0.0036013886210708537
399,100.01190000000001,0.0035594943461105277
400,100.01553333333334,0.002809507667420849
401,100.02066666666667,0.0034501207708338547
402,100.02063333333332,0.002136195996005451
403,100.02083333333333,0.0018009256879046752
404,100.0147,0.0030199337741078497
405,100.01836666666667,0.0017672954855716273
406,100.01396666666666,0.0020132891827341743
407,100.01236666666667,0.0063319296690091354
408,100.00883333333333,0.005542863279333065
409,100.01083333333334,0.0033724372986554904
410,100.01326666666667,0.003808324215892425
411,100.01493333333333,0.005105226080536604
412,100.01473333333335,0.002731910198617818
413,100.01186666666668,0.0025540817005979305
414,100.012,0.0022516660498404463
415,100.01716666666668,0.0035501173689533785
416,100.01799999999999,0.002523885892829468
417,100.01626666666668,0.0025106440076844263
418,100.01003333333334,0.0049571497186722616
419,100.00883333333333,0.003987898360454872
420,100.00676666666668,0.002635020556528314
421,100.00693333333334,0.0033946035605529404
422,100.00913333333334,0.002956912804489574
423,100.00993333333334,0.0017039170558841258
424,100.0124,0.00043588989435223643
425,100.009,0.0016462077633208761
426,100.00893333333335,0.0031085902485390726
427,100.00826666666667,0.0072858309981287065
428,100.01013333333333,0.007913490590966687
429,100.00886666666668,0.005658032638057453
430,100.00946666666665,0.004829423706129222
431,100.01163333333334,0.0021501937897163495
432,100.01313333333333,0.0017039170558834308
433,100.01093333333334,0.004200396806656513
434,100.00713333333333,0.0012503332888996225
435,100.00630000000001,0.004158124577262081
436,100.00543333333333,0.005244362052084702
437,100.00563333333334,0.0029280255008037152
438,100.00886666666668,0.001965536398369314
439,100.01296666666667,0.0032715949219516848
440,100.01856666666667,0.0012503332888996225
441,100.01756666666667,0.002173323108357356
