Lambda,Mean,Std
250,99.92703333333334,0.017101559383088626
251,99.92466666666667,0.018767347530573443
252,99.91699999999999,0.010064293318452816
253,99.90929999999999,0.012810542533403588
254,99.90956666666666,0.018635002906717178
255,99.9153,0.013960300856349257
256,99.93756666666667,0.011029656990733749
257,99.9434,0.014027473043997311
258,99.95223333333333,0.012446820209728426
259,99.95873333333333,0.004441095960835314
260,99.96849999999999,0.00043588989435223643
261,99.97146666666667,0.003758102358022632
262,99.9735,0.007686351540224542
263,99.9832,0.002847806173179603
264,99.99333333333334,0.002871120571020539
265,99.99186666666667,0.0067530240139794025
266,99.98376666666667,0.0019604421270045516
267,99.98526666666667,0.0065010255601154875
268,99.99603333333334,0.004140450861112506
269,100.00553333333335,0.005862024678672121
270,100.00880000000001,0.001670329308847028
271,100.01023333333332,0.00733848304033543
272,100.01393333333333,0.0079103307979776
273,100.01813333333332,0.005598511706989274
274,100.00663333333334,0.0063319296690166164
275,100.00596666666667,0.0070209211171547254
276,100.00503333333332,0.008250050504899784
277,100.01016666666665,0.008303212229815234
278,100.00926666666668,0.0030171730698398676
279,100.01793333333335,0.008855694966143305
280,100.02613333333333,0.01222797339436322
281,100.03386666666665,0.011428619047522634
282,100.03136666666666,0.00812793536719492
283,100.03093333333334,0.0021031722072520544
284,100.02983333333334,0.005589573627150398
285,100.03293333333333,0.00880984298006345
286,100.03773333333334,0.008703064594349108
287,100.03063333333334,0.002154839514523574
288,100.02453333333334,0.00591805148113195
289,100.02086666666666,0.0009504384952881328
290,100.01346666666666,0.0018717193521853614
291,100.00443333333334,0.01140716149326275
292,100.0102,0.012377802712917088
293,100.02233333333334,0.01118048895770089
294,100.03133333333334,0.009612665256483677
295,100.0317,0.005225897052183732
296,100.031,0.012586103447849143
297,100.022,0.011258774356026409
298,100.01236666666667,0.006560741827973458
299,100.01960000000001,0.005864298764558991
300,100.02603333333333,0.006178457196852101
301,100.024,0.006009991680527105
302,100.00023333333333,0.005560875230874014
303,99.99383333333334,0.005159780357082971
304,99.99766666666666,0.004804511768461367
305,100.00886666666668,0.002064784088791601
306,100.00713333333333,0.0030664855018963364
307,100.00946666666668,0.0014640127503974896
308,100.01203333333332,0.00983327683599754
309,100.0129,0.0076974021591696955
310,100.00143333333334,0.004841831609356969
311,100.00583333333333,0.007885006869584517
312,100.0092,0.0034770677301433233
313,100.01063333333333,0.004923751956924819
314,100.00349999999999,0.0011532562594696288
315,100.00586666666668,0.0053463383107827545
316,100.00566666666667,0.007144461724541142
317,100.01093333333334,0.006767815994344644
318,99.998,0.002690724809415337
319,99.99393333333335,0.008500196076167818
320,99.98610000000001,0.003649657518180939
321,99.98046666666666,0.006493329911017474
322,99.98766666666667,0.014850701442468304
323,99.9862,0.010792126759817323
324,99.99579999999999,0.008750428560932675
325,99.98673333333333,0.005140363151888476
326,99.99273333333333,0.005132575701664275
327,99.99496666666666,0.005685361319506954
328,100.00139999999999,0.004950757517795502
329,99.98993333333334,0.0010692676621561965
330,99.98373333333332,0.0011015141094563733
331,99.99066666666666,0.00703159536188729
332,99.99376666666667,0.004570922591045667
333,99.99706666666667,0.0021501937897163495
334,99.99116666666667,0.004768997099319822
335,99.99003333333333,0.006992376801439691
336,99.99383333333333,0.003156474826981013
337,99.99856666666666,0.0038436094147783115
338,100.00246666666668,0.004966219219219113
339,100.00009999999999,0.0010392304845430068
340,99.99726666666668,0.0012342339054358445
341,99.99450000000002,0.013119070088999702
342,99.9948,0.002905167809270781
343,99.99889999999999,0.000984885780182726
344,100.00406666666667,0.010539607835840674
345,100.00716666666666,0.007011656960612433
346,100.00666666666666,0.0058106224566120855
347,100.00826666666666,0.009899663293940104
348,100.012,0.009773433378298143
349,100.0048,0.004246174749113996
350,99.99756666666667,0.002413158373031101
351,99.99650000000001,0.006091797764203922
352,99.99923333333334,0.006825198409814393
353,99.9975,0.005047771785649645
354,100.0028,0.0032186953878932845
355,100.00313333333334,0.0036115555282058807
356,100.00766666666668,0.0020404247923763346
357,100.00386666666667,0.0015947831618580233
358,100.00293333333332,0.0024826061575157583
359,100.00366666666667,0.005653612414497884
360,99.99526666666668,0.005297483679383849
361,99.99736666666666,0.006151693533767461
362,99.99753333333335,0.00637207449213557
363,99.99933333333333,0.007464806315859509
364,99.99693333333335,0.007259706146489102
365,100.00683333333335,0.004006661120349827
366,100.0127,0.0013527749258418773
367,100.0142,0.007175653280364948
368,100.00426666666665,0.005750072463311561
369,100.00509999999998,0.006065476073648515
370,100.0027,0.004899999999999238
371,100.00443333333334,0.0051325757016717965
372,100.00619999999999,0.00590254182535619
373,100.00779999999999,0.005480875842419894
374,100.00973333333333,0.005564470624715472
375,100.00656666666664,0.005430776494512487
376,100.004,0.005282991576743799
377,100.00523333333332,0.0028360771028568903
378,100.00183333333332,0.004764801499892758
379,100.01266666666668,0.0052519837521999
380,100.01096666666668,0.0039145029484394635
