Lambda,Mean,Std
250,100.2602,0.026067412606551526
251,100.2425,0.0333172627927341
252,100.20710000000001,0.041650450177640776
253,100.18386666666667,0.03734519156910958
254,100.15930000000002,0.032168773678836735
255,100.1406,0.019938906690192323
256,100.15096666666666,0.013170168310744572
257,100.13636666666666,0.01352417588370338
258,100.13306666666666,0.015282124634138475
259,100.10793333333334,0.005052062285183148
260,100.09496666666666,0.0023094010767613256
261,100.07553333333333,0.0051052260805296915
262,100.0663,0.005356304696336619
263,100.0636,0.011421033228217388
264,100.0575,0.014325152704253687
265,100.0415,0.006596211033614878
266,100.0231,0.008920201791440232
267,100.0183,0.013809779143782381
268,100.01943333333334,0.01418179584302338
269,100.01200000000001,0.01018381068166517
270,99.997,0.005311308689954726
271,99.98539999999998,0.0012529964086132313
272,99.97753333333333,0.004052571200278784
273,99.97226666666667,0.0050934598588119545
274,99.95186666666666,0.004900340124249093
275,99.94706666666667,0.0008082903768630063
276,99.94143333333334,0.008471324178271155
277,99.94516666666668,0.013629869160535312
278,99.9443,0.010876120631918895
279,99.94676666666665,0.004801388688004137
280,99.94256666666666,0.0036115555282092253
281,99.94146666666666,0.004908496035785737
282,99.93739999999998,0.006828616258075003
283,99.93830000000001,0.004521061822184648
284,99.93546666666664,0.009316830648527511
285,99.9387,0.010133607452428561
286,99.94666666666666,0.015387115822446392
287,99.94606666666665,0.009308777220094233
288,99.93983333333334,0.00867717311878408
289,99.93473333333333,0.007621898276235606
290,99.92450000000001,0.010739180601885029
291,99.92323333333333,0.016519483446320756
292,99.92873333333334,0.015350027144389327
293,99.944,0.016652026903659047
294,99.9531,0.014284257068542376
295,99.96383333333334,0.014001904632342533
296,99.96443333333332,0.007239705334701346
297,99.95333333333333,0.002902297940142013
298,99.94456666666667,0.005138417395794154
299,99.95383333333332,0.011528370801344502
300,99.96883333333334,0.01466606059354101
301,99.96706666666667,0.01513483839798942
302,99.95393333333334,0.008209953308840584
303,99.95853333333334,0.006760424049820015
304,99.97156666666666,0.009855117114136062
305,99.97316666666666,0.006633500835407861
306,99.95943333333332,0.002150193789714477
307,99.95076666666667,0.013396019309230118
308,99.9575,0.017668050260286065
309,99.96233333333333,0.017457472134684772
310,99.95593333333333,0.012836017035410575
311,99.9642,0.005461684721769937
312,99.9785,0.0007937253933242413
313,99.99326666666666,0.0044859038479850635
314,99.98713333333335,0.0005773502691841779
315,99.99093333333333,0.0004725815626274171
316,99.99220000000001,0.0035171010790166087
317,100.00503333333334,0.004593836450434263
318,99.99493333333334,0.005870547958523789
319,99.98763333333333,0.001501110699893631
320,99.98719999999999,0.005642694391867306
321,99.98700000000001,0.00330454232836568
322,100.00326666666668,0.006459360133426469
323,100.0047,0.005804308744372335
324,100.01316666666666,0.008637900979599085
325,100.00686666666667,0.011244702456413546
326,100.01389999999999,0.011409206808540595
327,100.01786666666668,0.008351247411814288
328,100.02316666666667,0.0023094010767613256
329,100.00763333333335,0.0032929217016642045
330,100.00383333333333,0.0023352373184166776
331,100.00763333333333,0.00402036482589783
332,100.01389999999999,0.0042035699113939584
333,100.0104,0.0024758836806269544
334,100.00103333333334,0.005216640042530125
335,100.00603333333333,0.013027023195391377
336,100.01463333333334,0.012454048873090616
337,100.02600000000001,0.007318469785413603
338,100.02893333333334,0.00414889543533494
339,100.02606666666667,0.011007421738690468
340,100.0192,0.007969943538074542
341,100.01236666666667,0.00871913604282489
342,100.01073333333333,0.0065286547874234485
343,100.00849999999998,0.0013527749258492308
344,100.01163333333334,0.0026539279065842555
345,100.01279999999998,0.0032186953878857788
346,100.02093333333333,0.00663350083540072
347,100.02326666666666,0.0038423083339783515
348,100.0281,0.0016522711641869252
349,100.02126666666668,0.002750151510976661
350,100.0156,0.008411301920627442
351,100.01460000000002,0.003905124837955598
352,100.01306666666669,0.004174126655162559
353,100.01166666666667,0.0019756855350321497
354,100.01173333333332,0.007021633238311172
355,100.0138,0.004978955713805721
356,100.01463333333334,0.0035218366420505603
357,100.0115,0.00010000000000331966
358,100.01226666666668,0.004452340208622908
359,100.01506666666667,0.008050051759665196
360,100.01643333333334,0.0073595742630512126
361,100.01573333333333,0.008084759324389778
362,100.01476666666667,0.008761468674448882
363,100.01216666666666,0.013121483655954752
364,100.01429999999999,0.008487638069572
365,100.02170000000001,0.005367494760123356
366,100.0269,0.004014971979973253
367,100.02446666666667,0.0037501111094616663
368,100.01209999999999,0.003966106403010013
369,100.01266666666668,0.0015502687938994558
370,100.00793333333333,0.002797022226107992
371,100.01223333333333,0.004539089482850261
372,100.01233333333333,0.00652099174461367
373,100.01493333333333,0.004152509281549707
374,100.01853333333334,0.002025668613892868
375,100.01453333333332,0.0016921386862045519
376,100.0122,0.0036660605559638805
377,100.01029999999999,0.006255397669208839
378,100.00876666666666,0.0031085902485429584
379,100.0194,0.003994996871092909
380,100.01826666666666,0.008064944719794291
381,100.02350000000001,0.005802585630558183
382,100.01716666666668,0.0010115993936959226
383,100.01376666666665,0.005513921774324296
384,100.01086666666667,0.007742308010752942
385,100.0194,0.007892401408950095
386,100.02216666666668,0.006554642120919659
387,100.02156666666667,0.005084617324178672
388,100.0117,0.003386738844376663
389,100.01506666666667,0.0006027713773325695
390,100.01553333333334,0.0015947831618557955
391,100.01756666666667,0.0027227437142232757
392,100.01596666666666,0.005120872321520994
393,100.02,0.002563201123594691
394,100.01843333333333,0.0037634204300506973
395,100.01163333333334,0.0038811510320187967
396,100.0057,0.0019000000000039862
397,100.00286666666666,0.0023245071162167883
398,100.01089999999999,0.004331281565542276
399,100.00940000000001,0.001928730152200727
400,100.01156666666667,0.002345918441324482
401,100.0132,0.003651027252708613
402,100.01733333333334,0.0029365512652345595
403,100.01843333333333,0.004562163229581059
404,100.01443333333333,0.004939973009375374
405,100.0154,0.006065476073648515
