Lambda,Mean,Std
250,88.86500000000001,0.018495134495321367
251,88.9416,0.01657377446449895
252,89.06093333333332,0.013194064322010922
253,89.18676666666666,0.014781519994004804
254,89.30810000000001,0.023372633570052648
255,89.4216,0.024511017930719727
256,89.53103333333333,0.02245825757563116
257,89.63256666666666,0.014731372418528264
258,89.72863333333333,0.0034703506066874816
259,89.81703333333333,0.0010066445913670871
260,89.90646666666667,0.006803920438489816
261,89.9833,0.005230678732249658
262,90.04870000000001,0.004340506882842502
263,90.11786666666666,0.007214799604513998
264,90.18599999999999,0.004812483766209639
265,90.26216666666666,0.004406056437834954
266,90.32943333333333,0.005215681483119216
267,90.39383333333332,0.002761038451980882
268,90.44503333333334,0.005742241142041078
269,90.492,0.008106170489198525
270,90.54706666666668,0.002182506204649081
271,90.5982,0.005008991914547023
272,90.65050000000001,0.0014422205101881466
273,90.69116666666666,0.001357694123629561
274,90.74490000000002,0.0018520259177449256
275,90.78726666666667,0.004804511768467775
276,90.83043333333335,0.0033291640592417195
277,90.86293333333333,0.004350095784388304
278,90.8972,0.0021931712199437735
279,90.9323,0.013572398461589176
280,90.96536666666667,0.010250040650325105
281,91.00156666666668,0.007678758580227398
282,91.0354,0.0019000000000039862
283,91.06773333333335,0.012259825991152594
284,91.09293333333333,0.015019431857876207
285,91.1145,0.014029967925837295
286,91.14326666666666,0.010286560811726159
287,91.17043333333334,0.010214368964032801
288,91.18740000000001,0.012240506525462118
289,91.19996666666667,0.004990323970780962
290,91.2213,0.009071383576944696
291,91.26203333333335,0.009400177303291807
292,91.28876666666667,0.010028625695140871
293,91.30919999999999,0.006158733636068484
294,91.31643333333334,0.003146956201370576
295,91.3282,0.010055346836383827
296,91.34649999999999,0.02357265364781646
297,91.36529999999999,0.025392321674079267
298,91.3839,0.01975449315978836
299,91.39229999999999,0.013639648089298875
300,91.40926666666667,0.006924112458167491
301,91.43446666666667,0.003043572462306551
302,91.45830000000001,0.0071140705647346125
303,91.47493333333334,0.009385272150202132
304,91.48020000000001,0.0033181320046102784
305,91.52403333333332,0.005366873702013418
306,91.57573333333335,0.004214656965081835
307,91.63316666666667,0.0022233608194202905
308,91.66026666666666,0.005635896852620936
309,91.67370000000001,0.00676165660174953
310,91.69279999999999,0.008154140052756071
311,91.69226666666667,0.0048428641663097755
312,91.69706666666667,0.010071908127724793
313,91.6972,0.0170613598520126
314,91.72069999999998,0.01414178206592176
315,91.7453,0.009707728879611245
316,91.76033333333334,0.007619930008421094
317,91.76663333333333,0.009794045810250302
318,91.77909999999999,0.01356429135635038
319,91.8086,0.014245350118545455
320,91.81920000000001,0.010622617379913466
321,91.82396666666666,0.004701418225743759
322,91.81826666666666,0.0033471380810087097
323,91.79996666666666,0.006940701213375851
324,91.78203333333333,0.010194279441596798
325,91.75873333333334,0.009046730532809548
326,91.75693333333334,0.002267891825756633
327,91.764,0.0024758836806295374
328,91.77193333333334,0.001401189970466625
329,91.77956666666667,0.0059433436156201115
330,91.78546666666666,0.006465549731721555
331,91.79103333333335,0.004508140784552897
332,91.80326666666667,0.006254864773385685
333,91.80986666666666,0.0034122328955317415
334,91.82453333333335,0.006115826463640485
335,91.8363,0.0057375953151136624
336,91.84003333333332,0.0034645827069545196
337,91.83473333333332,0.003332166462431868
338,91.83446666666667,0.0010016652800853285
339,91.83503333333333,0.002458319208994929
340,91.85226666666667,0.003667878587589834
341,91.85906666666666,0.004843896503165711
342,91.87056666666668,0.007900210967646551
343,91.87213333333334,0.0072920047540638725
344,91.8854,0.005102940328867919
345,91.8904,0.005023942674826702
346,91.89263333333334,0.009241392391479517
347,91.89713333333334,0.007311862507827037
348,91.90993333333334,0.002750151510976747
349,91.92016666666666,0.004152509281549707
350,91.91636666666666,0.0018770544300450447
351,91.91513333333334,0.004331666346030123
352,91.91983333333333,0.00457857328579183
353,91.93643333333334,0.004554484969046138
354,91.94449999999999,0.003251153641403046
355,91.95609999999999,0.0030049958402663898
356,91.9509,0.004924428900899922
357,91.96049999999998,0.009462029380635742
358,91.9612,0.007092954250521381
359,91.9732,0.008636550237220606
360,91.97356666666667,0.002706165799307061
361,91.97610000000002,0.0031764760348567166
362,91.97536666666667,0.004725815626253623
363,91.97786666666667,0.007085431061925786
364,91.97203333333334,0.006087966272360156
365,91.96476666666668,0.0014468356276165681
366,91.95673333333333,0.0004932882862316754
367,91.9556,0.0012124355652974395
368,91.95523333333334,0.004532475409014451
369,91.94976666666666,0.0030615900008596087
370,91.94293333333333,0.0013796134724384575
371,91.94416666666666,0.004772141378182118
372,91.98783333333334,0.004907477288110638
373,92.03423333333335,0.006465549731721555
374,92.07376666666669,0.0036073998022572618
375,92.07486666666667,0.0038695391629122787
376,92.07406666666667,0.005340724045794855
377,92.07456666666667,0.006132971003792904
378,92.07533333333333,0.0008326663997845125
379,92.0799,0.0011269427669548923
380,92.08696666666667,0.005687119950672255
381,92.0942,0.0023515952032607764
382,92.09823333333334,0.0048542077966760855
383,92.10513333333334,0.0057448527686405
384,92.10889999999999,0.0024758836806295374
385,92.11469999999998,0.006559725604016354
386,92.11536666666666,0.008578072821636123
387,92.1182,0.010095048291117726
388,92.12063333333333,0.007332348418705517
389,92.12543333333333,0.004833563212924491
390,92.12603333333334,0.0017785762095991232
391,92.13193333333334,0.003403429642777268
392,92.13460000000002,0.0034176014981265324
393,92.14243333333333,0.004027819923150554
394,92.14519999999999,0.006677574409917262
395,92.15069999999999,0.004479955356918785
396,92.15013333333333,0.006601010023732455
397,92.15076666666668,0.004091861841920433
398,92.15083333333332,0.003557152419185063
399,92.15786666666668,0.0019008769905837415
400,92.1623,0.006161168720296227
401,92.16199999999999,0.004877499359305133
402,92.16216666666666,0.004554484969054198
403,92.15776666666666,0.004195632649947787
404,92.15873333333333,0.0074231619498287
405,92.16236666666667,0.008787111774261155
406,92.17406666666666,0.008812112875651418
407,92.17966666666666,0.009108969938108396
408,92.18006666666668,0.00855823190462788
409,92.17593333333333,0.007060689295905003
410,92.17986666666667,0.006397134775295823
411,92.18339999999999,0.0058898217290535085
412,92.18913333333334,0.0021385353243108425
413,92.19646666666667,0.0015373136743487346
414,92.20126666666665,0.002498666310917475
415,92.20666666666666,0.0059281812837771826
416,92.2115,0.006753517601958788
417,92.22056666666667,0.00413561764834798
418,92.22353333333332,0.003980368492150773
419,92.22593333333333,0.002052640575781816
420,92.23176666666667,0.004178915329765295
421,92.23723333333334,0.004282911782111659
422,92.2402,0.005311308689954459
423,92.24033333333334,0.004798263574806103
424,92.24306666666666,0.005139390365920488
425,92.24393333333335,0.005305029060553488
426,92.24293333333333,0.004660829682938407
427,92.24406666666668,0.004652239604031216
428,92.25009999999999,0.0051468436929816746
429,92.24926666666666,0.003942503434792259
430,92.24993333333333,0.004201587001754418
431,92.25106666666666,0.002230097157827846
432,92.25403333333333,0.002454248017896536
433,92.25493333333334,0.0012503332889066312
434,92.25083333333333,0.0038397048497725923
435,92.25393333333334,0.0022368132093105696
436,92.25456666666668,0.0026312227829172856
437,92.25450000000001,0.001322875655530555
438,92.24943333333333,0.0027061657993011972
439,92.24849999999999,0.002389560629068447
440,92.24959999999999,0.003601388621077167
441,92.25080000000001,0.002778488797887577
442,92.2472,0.003179622619121698
443,92.24173333333333,0.004164532786918315
444,92.2383,0.004750789408087353
445,92.23293333333334,0.003153305144338082
446,92.2306,0.001212435565302714
447,92.2273,0.001311487704861678
448,92.22323333333333,0.0029263173671610077
449,92.21593333333334,0.0030664855018971856
450,92.20886666666667,0.005522982286172111
451,92.20496666666666,0.004125934237641842
452,92.19906666666668,0.001985782801146302
453,92.19506666666666,0.0027227437142232757
454,92.19510000000001,0.004355456348083085
455,92.19713333333334,0.0037447741364929924
456,92.19843333333334,0.0036610563138681986
457,92.19746666666667,0.001504437879520391
458,92.19456666666667,0.0035133080328013677
459,92.19013333333334,0.0036087855759673244
460,92.19306666666667,0.0017156145643272248
461,92.20060000000001,0.002749545416970197
462,92.2124,0.003534119409418989
463,92.21823333333333,0.005501211987672222
464,92.22306666666667,0.00350047615808922
465,92.22366666666666,0.0012503332889066312
466,92.2192,0.001999999999995339
467,92.21706666666667,0.003470350606688369
468,92.2186,0.0026627053911416035
469,92.2196,0.0023643180835107333
470,92.21900000000001,0.00036055512755048534
471,92.21326666666666,0.0042122836245154765
472,92.21066666666667,0.0018583146486322027
473,92.2057,0.0010535653752845044
474,92.20216666666666,0.0003785938897244535
475,92.19606666666668,0.0018009256879016502
476,92.19516666666668,0.0026501572280428435
477,92.19099999999999,0.0034828149534508893
478,92.18820000000001,0.0028354893757489663
479,92.17840000000001,0.001248999599675631
480,92.17323333333333,0.002478574859335223
481,92.16793333333334,0.001724335620850169
482,92.16206666666666,0.0027153882472554587
483,92.1576,0.0020297783130207143
484,92.15323333333333,0.0004932882862316754
485,92.1515,0.002286919325206583
486,92.1424,0.001969771560365452
487,92.13233333333335,0.0018770544300407545
488,92.12386666666667,0.0012662279942112328
489,92.11813333333333,0.0005507570547327021
490,92.10993333333333,0.0011372481406157306
491,92.09873333333333,0.0009291573243192876
492,92.08483333333334,0.0009712534856188701
493,92.07406666666668,0.001001665280083437
494,92.0621,0.0035383612025869982
495,92.05290000000001,0.003815756805667083
496,92.04426666666667,0.0069407012133683435
497,92.02906666666667,0.003900427327017617
498,92.01076666666665,0.0031770006819877624
499,91.9902,0.002107130750569009
500,91.97256666666665,0.002502665245957367
501,91.95603333333334,0.002358671942711341
502,91.9378,0.0036496575181727622
503,91.91846666666667,0.004578573285786916
504,91.89083333333333,0.0030615900008569784
505,91.86263333333333,0.0015885003409960433
506,91.83016666666667,0.001814754345171786
507,91.79896666666667,0.001692138686198533
508,91.7615,0.0034510867853483926
509,91.7222,0.0021071307505696833
510,91.67903333333334,0.0016165807537271847
511,91.64089999999999,0.0030805843601474214
512,91.60823333333333,0.0008020806276993426
513,91.57803333333334,0.0016921386861967135
514,91.54896666666667,0.0018502252115145997
515,91.52840000000002,0.0033808283008766563
516,91.51756666666665,0.0043293571501229885
517,91.5104,0.0032140317359968915
518,91.49986666666666,0.0026312227829126946
519,91.49333333333333,0.0023180451534271793
520,91.48523333333333,0.0009018499505588003
521,91.4839,0.0007549834435304917
522,91.4799,0.0017058722109285942
523,91.47919999999999,0.0024556058315625224
524,91.47066666666667,0.003855299383100102
525,91.46073333333334,0.00462313025269107
526,91.4529,0.0035042830935898286
527,91.44643333333333,0.0014977761292425506
528,91.44106666666669,0.0025106440076893316
529,91.43343333333333,0.001877054430036843
530,91.42633333333333,0.0023544284515212683
531,91.41573333333334,0.0005507570547305519
532,91.40203333333334,0.001201388086059972
533,91.38773333333334,0.0014571661996291545
534,91.37206666666667,0.002362907813129568
535,91.36193333333334,0.003074627348692693
536,91.3449,0.001997498435545032
537,91.33,0.0013453624047066123
538,91.30766666666666,0.0034151622704296737
539,91.2899,0.0015716233645526117
540,91.26943333333332,0.0015011106998929998
541,91.24953333333333,0.005970203793281781
542,91.22613333333334,0.003763420430048872
543,91.20233333333333,0.0037753587026059772
544,91.17363333333333,0.0011930353445412116
545,91.15140000000001,0.0013000000000021627
546,91.13166666666666,0.0012055427546726048
547,91.1105,0.002165640782771138
548,91.08656666666667,0.0013650396819674246
549,91.0594,0.0037722672227731005
550,91.03986666666667,0.004682235933117713
551,91.01956666666666,0.0033246553706141957
552,91.00439999999999,0.00343947670438783
553,90.98666666666668,0.003667878587589834
554,90.97306666666667,0.004118656738951072
555,90.95843333333333,0.005093459858809211
556,90.945,0.003099999999996328
557,90.9234,0.0029816103031732894
558,90.90426666666667,0.0019655363983722062
559,90.88536666666666,0.004554484969056227
560,90.87283333333333,0.005103266927503681
561,90.85726666666666,0.00310053758779387
562,90.8392,0.0011269427669630889
563,90.82116666666667,0.0015275252316514878
564,90.80093333333333,0.0022052966542700295
565,90.78460000000001,0.002451530134429379
566,90.7636,0.003858756276314885
567,90.73900000000002,0.004618441295501817
568,90.71076666666666,0.0037607623340624305
569,90.68119999999999,0.003477067730144345
570,90.6517,0.002773084924769918
571,90.61673333333334,0.001457166199620865
572,90.57556666666666,0.0023007245235631244
573,90.53173333333332,0.003181718613155345
574,90.48086666666667,0.004309679029039124
575,90.42726666666665,0.0025929391302790114
576,90.36243333333334,0.003010537050644795
577,90.29180000000001,0.002920616373299254
578,90.21216666666668,0.004565449959567829
579,90.12653333333333,0.003611555528210078
580,90.03246666666666,0.0017009801096227325
581,89.92676666666667,0.0021385353243099565
582,89.82143333333333,0.0021733231083598628
583,89.712,0.004422668877495637
584,89.5992,0.0033406586177004366
585,89.46963333333333,0.003455912807543305
586,89.33993333333335,0.0017009801096227325
587,89.21319999999999,0.0028160255680646064
588,89.0843,0.0009000000000014552
589,88.94986666666667,0.0031501322723569295
590,88.8045,0.0036755951898984375
591,88.65429999999999,0.004124318125459172
592,88.49463333333334,0.001167618659212193
593,88.31796666666666,0.0010692676621561965
594,88.12056666666666,0.001665332799569025
595,87.8963,0.002179449471764442
596,87.65126666666667,0.004387862045838918
597,87.39206666666666,0.006066575090889954
598,87.12123333333334,0.007335075550623406
599,86.84849999999999,0.004464302857112987
600,86.5853,0.003994996871088285
601,86.34696666666667,0.004105281151555786
602,86.1425,0.0031048349392484302
603,85.9766,0.0027838821814129893
604,85.84973333333335,0.0020132891827407623
605,85.76190000000001,0.003536947836766577
606,85.6958,0.0043588989435451855
607,85.65003333333333,0.0027537852736420087
608,85.61643333333332,0.0003511884584259201
609,85.59340000000002,0.0026962937525456237
610,85.5722,0.004059556626033728
611,85.55346666666667,0.005310681061158853
612,85.53596666666668,0.0021733231083610615
613,85.51646666666666,0.0006806859285564279
614,85.492,0.0010816653826396319
615,85.46373333333334,0.0013650396819625662
616,85.4373,0.004092676385934065
617,85.41216666666666,0.004606878914551925
