Lambda,Mean,Std
250,86.99596666666666,0.012602116224398116
251,87.08696666666667,0.011788695149733842
252,87.22430000000001,0.013214007719079787
253,87.3806,0.004257933771212097
254,87.53376666666666,0.005692392584263799
255,87.68126666666666,0.009511221442768756
256,87.80983333333334,0.00567215420570568
257,87.93153333333333,0.0052041649986605985
258,88.04756666666667,0.002627419519859427
259,88.16496666666666,0.006379132647417241
260,88.28083333333332,0.009023487869624291
261,88.395,0.011987910576909093
262,88.49149999999999,0.009488413987593152
263,88.5905,0.01005037312740357
264,88.67926666666666,0.0006110100926593546
265,88.78089999999999,0.0005291502622143705
266,88.86766666666666,0.0013576941236236298
267,88.94436666666667,0.010288990880226032
268,88.99286666666667,0.0096022566792057
269,89.04136666666666,0.011680896084344297
270,89.0911,0.00710844568102034
271,89.1481,0.006677574409918326
272,89.19956666666667,0.0030599564267081406
273,89.24033333333334,0.0016289055630496906
274,89.2845,0.0034828149534508893
275,89.3204,0.007006425622241292
276,89.36656666666666,0.010597326706925054
277,89.40589999999999,0.005894913061282249
278,89.4507,0.003968626966594351
279,89.49803333333334,0.005071817557185044
280,89.5469,0.005402777063697717
281,89.5996,0.00838272032218269
282,89.65353333333333,0.005159780357082465
283,89.71693333333333,0.0012423096769014804
284,89.77093333333333,0.004401514890735806
285,89.83026666666666,0.006214767359548687
286,89.88766666666668,0.005519359866264632
287,89.95256666666667,0.007759725081039055
288,90.0074,0.007734985455705629
289,90.06676666666665,0.0061451878192063745
290,90.13323333333334,0.00457420302712362
291,90.20519999999999,0.0006557438524302972
292,90.25876666666666,0.005200320502937254
293,90.3035,0.0024062418831048197
294,90.33453333333334,0.0023094010767531208
295,90.35706666666665,0.0023860706890939374
296,90.37606666666666,0.008064944719794995
297,90.38690000000001,0.0075438716850147365
298,90.39893333333333,0.006197849089267601
299,90.3938,0.008316249154509637
300,90.38983333333333,0.0028148416177997625
301,90.38823333333335,0.0034428670223150357
302,90.37413333333335,0.004705670338361631
303,90.36593333333333,0.0057587614409108055
304,90.33720000000001,0.008057915363170062
305,90.35733333333333,0.008680053763270487
306,90.37433333333333,0.01003211509769624
307,90.3891,0.008478797084493317
308,90.36623333333334,0.00925004504493359
309,90.33810000000001,0.007142128534270244
310,90.31636666666668,0.0019756855350321497
311,90.27926666666667,0.008623417729255248
312,90.2373,0.01636978924726665
313,90.20666666666666,0.007823255929176334
314,90.20263333333332,0.0006027713773325696
315,90.20653333333333,0.005350077881053021
316,90.20306666666666,0.005084617324178673
317,90.19176666666665,0.003073000705060271
318,90.19419999999998,0.006873863542430919
319,90.21723333333334,0.0033471380810087097
320,90.23823333333333,0.00462313025269107
321,90.25009999999999,0.006349803146556332
322,90.24926666666666,0.011975530607595035
323,90.23606666666666,0.006321655901215165
324,90.24566666666665,0.007150058274821639
325,90.2735,0.007582216034910875
326,90.33476666666667,0.010224643433066033
327,90.40383333333334,0.0021126602503307177
328,90.48970000000001,0.004190465367952478
329,90.58466666666665,0.009721282494268029
330,90.68956666666668,0.006206716791781453
331,90.80103333333334,0.007254194189109822
332,90.91816666666666,0.006988800564711106
333,91.02896666666668,0.005105226080530945
334,91.1286,0.004479955356924019
335,91.22043333333333,0.004418521623043902
336,91.29646666666667,0.0010066445913670871
337,91.35343333333333,0.0032715949219516848
338,91.40933333333334,0.0024006943440031047
339,91.4532,0.007787168933576099
340,91.50883333333333,0.005701169470668246
341,91.53903333333334,0.0015695009822667518
342,91.5763,0.0026851443164218527
343,91.58876666666667,0.006800245093627689
344,91.61896666666667,0.006665083145265749
345,91.63099999999999,0.005655970296947258
346,91.6517,0.0036345563690755238
347,91.66553333333333,0.0032624121954976507
348,91.68856666666666,0.0019604421270053973
349,91.70159999999998,0.0015099668870534543
350,91.70496666666668,0.00037859388971632073
351,91.7075,0.002116601048852111
352,91.72443333333335,0.002550163393457419
353,91.74566666666668,0.005558177159224319
354,91.75816666666667,0.007130451131122347
355,91.76363333333335,0.005616345193564969
356,91.76203333333335,0.0026727015047224687
357,91.77403333333335,0.004101625693956752
358,91.78246666666666,0.002668957349481096
359,91.79546666666666,0.003544479275344548
360,91.79706666666668,0.0015695009822667518
361,91.802,0.0037749172176317534
362,91.80173333333333,0.0010785793124891505
363,91.80896666666666,0.0027790885796136933
364,91.8091,0.004762352359915906
365,91.80993333333333,0.002100793500877209
366,91.79973333333332,0.0021455380055683394
367,91.7956,0.0035791060336377296
368,91.7882,0.003386738844376663
369,91.79023333333333,0.004789919971496573
370,91.78696666666667,0.007124839179469325
371,91.79156666666665,0.006312949653952122
372,91.83303333333333,0.008868107652331833
373,91.87989999999998,0.00233023603954276
374,91.92563333333332,0.0038552993831040953
375,91.93093333333333,0.0008386497083593598
376,91.93613333333333,0.002608320021263337
377,91.93813333333333,0.00446579593503272
378,91.94389999999999,0.006620422947213394
379,91.94466666666666,0.005346338310778324
380,91.94973333333333,0.004418521623050602
381,91.95193333333333,0.0031214312956282524
382,91.96069999999999,0.003477067730144345
383,91.97103333333332,0.0014189197769232213
384,91.97739999999999,0.0011789826122587399
385,91.98216666666667,0.0041186567389589505
386,91.98306666666667,0.0011239810200075245
387,91.9846,0.004951767361256492
388,91.98363333333333,0.0032036437588093664
389,91.9884,0.0024433583445770076
390,91.99006666666666,0.0016258331197679893
391,91.99956666666667,0.003400490160745652
392,92.00346666666667,0.00413561764834798
393,92.01243333333333,0.003601851375793042
394,92.0161,0.0006082762530289884
395,92.0191,0.0023579652245156717
396,92.0185,0.0047843494855614455
397,92.01740000000001,0.002805352027821788
